"Sundén Andersson","Lisbeth","M","Göteborgs kommun","1950","Kvinna"
"Sundin","Mathias","FP","Östergötlands län","1978","Man"
"Svantesson","Elisabeth","M","Örebro län","1967","Kvinna"
"Svantorp","Gunilla","S","Värmlands län","1964","Kvinna"
"Svenneling","Håkan","V","Värmlands län","1985","Man"
"Svensson","Michael","M","Hallands län","1957","Man"
"Svensson","Suzanne","S","Blekinge län","1958","Kvinna"
"Svensson Smith","Karin","MP","Skåne läns södra","1956","Kvinna"
"Sydow Mölleby","Mia","V","Örebro län","1960","Kvinna"
"Szyber","Caroline","KD","Stockholms kommun","1981","Kvinna"
"Sällström","Sven-Olof","SD","Dalarnas län","1968","Man"
"Sätherberg","Anna-Caren","S","Jämtlands län","1964","Kvinna"
"Söder","Björn","SD","Stockholms län","1976","Man"
"Sörenson","Anna-Lena","S","Östergötlands län","1954","Kvinna"
"Tenfjord-Toftby","Cecilie","M","Västra Götalands läns södra","1970","Kvinna"
"Thalén Finné","Ewa","M","Skåne läns södra","1959","Kvinna"
"Thorell","Olle","S","Västmanlands län","1967","Man"
"Thuring","Christina","SD","Kalmar län","1968","Kvinna"
"Tobé","Tomas","M","Gävleborgs län","1978","Man"
"Tysklind","Lars","FP","Västra Götalands läns västra","1953","Man"
"Töyrä","Emilia","S","Norrbottens län","1985","Kvinna"
"Ullenhag","Erik","FP","Stockholms kommun","1972","Man"
"Unander","Hans","S","Dalarnas län","1970","Man"
"Utbult","Roland","KD","Västra Götalands läns västra","1951","Man"
"Venegas","Marco","MP","Södermanlands län","1962","Man"
"Vilhelmsson","Jessika","M","Uppsala län","1972","Kvinna"
"von Sydow","Björn","S","Stockholms län","1945","Man"
"Völker","Alexandra","S","Stockholms län","1989","Kvinna"
"W Jonsson","Anders","C","Gävleborgs län","1961","Man"
"Wallén","Anna","S","Västmanlands län","1980","Kvinna"
"Wallentheim","Anna","S","Skåne läns norra och östra","1985","Kvinna"
"Wallmark","Hans","M","Skåne läns norra och östra","1965","Man"
"Wallrup","Emma","V","Uppsala län","1971","Kvinna"
"Waltersson Grönvall","Camilla","M","Västra Götalands läns norra","1969","Kvinna"
"Warborn","Jörgen","M","Hallands län","1969","Man"
"Weimer","Maria","FP","Uppsala län","1979","Kvinna"
"Westerberg","Per","M","Södermanlands län","1951","Man"
"Westerholm","Barbro","FP","Stockholms län","1933","Kvinna"
"Westlund","Åsa","S","Stockholms län","1976","Kvinna"
"Widegren","Cecilia","M","Västra Götalands läns östra","1973","Kvinna"
"Widman","Allan","FP","Malmö kommun","1964","Man"
"Wiechel","Björn","S","Västerbottens län","1983","Man"
"Wiechel","Markus","SD","Västra Götalands läns norra","1988","Man"
"Wigh","Hanna","SD","Norrbottens län","1986","Kvinna"
"Wiklander","Tony","SD","Västra Götalands läns västra","1939","Man"
"Winberg","Kristina","SD","Västra Götalands läns södra","1965","Kvinna"
"Wykman","Niklas","M","Stockholms län","1981","Man"
"Ygeman","Anders","S","Stockholms kommun","1970","Man"
"Yngwe","Kristina","C","Skåne läns södra","1983","Kvinna"
"Zander","Solveig","C","Uppsala län","1955","Kvinna"
"Åberg","Boriana","M","Skåne läns södra","1968","Kvinna"
"Åfeldt","Jennie","SD","Malmö kommun","1974","Kvinna"
"Åkerlund","Jonas","SD","Västmanlands län","1949","Man"
"Åkesson","Anders","C","Kalmar län","1958","Man"
"Åkesson","Anette","M","Skåne läns norra och östra","1966","Kvinna"
"Åkesson","Jimmie","SD","Jönköpings län","1979","Man"
"Åsling","Per","C","Jämtlands län","1957","Man"
"Örnfjäder","Krister","S","Kalmar län","1952","Man"
"Öz","Emanuel","S","Stockholms kommun","1979","Man"
